name,phone,city,lon,lat,address1,address2
Grill'd Bondi Junction,9387 6666,Sydney,151.2494992,-33.8929936,9-13 Bronte Rd,Bondi Junction 2022
Grill'd Broadway,9211 1085,Sydney,151.1941253,-33.8834035,Shop 217 Broadway Shopping Centre,Broadway 2007
Grill'd Chatswood,9411 4267,Sydney,151.1835533,-33.7959507,Shop 7 The Concourse,Chatswood 2067
Grill'd Crows Nest,9436 0699,Sydney,151.2009818,-33.8258976,57 Willoughby Rd,Crows Nest 2065
Grill'd Darlinghurst,9380 4800,Sydney,151.2150083,-33.8795403,241 Crown St,Darlinghurst 2010
Grill'd Dee Why,9188 8396,Sydney,151.2875319,-33.7534243,"Shop 10-11, Corner Howard Ave & PIttwater Rd",Dee Why 2099
Grill'd Galeries,9264 9566,Sydney,151.2075807,-33.8724051,The Galeries,Sydney 2000
Grill'd Kirrawee,8058 9600,Sydney,151.0729905,-34.0336049,580 Princes Hwy,Kirrawee 2232
Grill'd Leichhardt,95509499,Sydney,151.1574558,-33.8858258,Shop TO28 Norton Plaza,Leichhardt 2040
Grill'd MacArthur Square,4625 3500,Sydney,150.7976599,-34.0733804,200 Gilchrist Dr,Campbelltown 2560
Grill'd Macquarie Centre,9888 7700,Sydney,151.1194891,-33.7765996,"Macquarie Shopping Centre, Level 4",North Ryde 2113
Grill'd Miranda,9524 7111,Sydney,151.1007563,-34.0344578,"Westfield Miranda, Level 4 Restaurant Precinct",Miranda 2228
Grill'd Neutral Bay,8969 6277,Sydney,151.2210905,-33.8298983,24 Grosvenor St,Neutral Bay 2089
Grill'd Penrith,4721 8300,Sydney,150.6938829,-33.7516882,585 High St,Penrith 2750
Grill'd Rouse Hill,9836 5666,Sydney,150.9263176,-33.69041,Shop GR049 Rouse Hill Town Centre,Rouse Hill 2155
Grill'd Westfield Parramatta,9633 2300,Sydney,151.0031339,-33.8172273,Shop 4069 Westfield Parramatta,Parramatta 2150
Grill'd Westfield Sydney,9223 7474,Sydney,151.2092834,-33.8701154,"Westfield Sydney, Level 6",Sydney 2000
Grill'd Wetherill Park,9756 1444,Sydney,150.8988602,-33.8576497,Stockland Wetherill Park Shopping Centre,Wetherill Park 2164
Grill'd World Square,9261 4900,Sydney,151.2068698,-33.877279,World Square Shopping Centre,Sydney 2000
Random Square,,Sydney,150.6975,-33.9757,Kanangra Walls Lookout,Kanangra Nsw 2787
