id,name,address1,address2,phone,lon,lat
1,Grill'd Bondi Junction,9-13 Bronte Rd,Bondi Junction 2022,9387 6666,151.2494992,-33.8929936
2,Grill'd Broadway,Shop 217 Broadway Shopping Centre,Broadway 2007,9211 1085,151.1941253,-33.8834035
3,Grill'd Chatswood,Shop 7 The Concourse,Chatswood 2067,9411 4267,151.1835533,-33.7959507
4,Grill'd Crows Nest,57 Willoughby Rd,Crows Nest 2065,9436 0699,151.2009818,-33.8258976
5,Grill'd Darlinghurst,241 Crown St,Darlinghurst 2010,9380 4800,151.2150083,-33.8795403
6,Grill'd Dee Why,"Shop 10-11, Corner Howard Ave & PIttwater Rd",Dee Why 2099,9188 8396,151.2875319,-33.7534243
7,Grill'd Galeries,The Galeries,Sydney 2000,9264 9566,151.2075807,-33.8724051
8,Grill'd Kirrawee,580 Princes Hwy,Kirrawee 2232,8058 9600,151.0729905,-34.0336049
9,Grill'd Leichhardt,Shop TO28 Norton Plaza,Leichhardt 2040,95509499,151.1574558,-33.8858258
10,Grill'd MacArthur Square,200 Gilchrist Dr,Campbelltown 2560,4625 3500,150.7976599,-34.0733804
11,Grill'd Macquarie Centre,"Macquarie Shopping Centre, Level 4",North Ryde 2113,9888 7700,151.1194891,-33.7765996
12,Grill'd Miranda,"Westfield Miranda, Level 4 Restaurant Precinct",Miranda 2228,9524 7111,151.1007563,-34.0344578
13,Grill'd Neutral Bay,24 Grosvenor St,Neutral Bay 2089,8969 6277,151.2210905,-33.8298983
14,Grill'd Penrith,585 High St,Penrith 2750,4721 8300,150.6938829,-33.7516882
15,Grill'd Rouse Hill,Shop GR049 Rouse Hill Town Centre,Rouse Hill 2155,9836 5666,150.9263176,-33.69041
16,Grill'd Westfield Parramatta,Shop 4069 Westfield Parramatta,Parramatta 2150,9633 2300,151.0031339,-33.8172273
17,Grill'd Westfield Sydney,"Westfield Sydney, Level 6",Sydney 2000,9223 7474,151.2092834,-33.8701154
18,Grill'd Wetherill Park,Stockland Wetherill Park Shopping Centre,Wetherill Park 2164,9756 1444,150.8988602,-33.8576497
19,Grill'd World Square,World Square Shopping Centre,Sydney 2000,9261 4900,151.2068698,-33.877279
