name,address,phone,city,lon,lat,address_line_1,address_line_2,address_line_3
Grill'd Bondi Junction,"9-13 Bronte Rd,  BONDI JUNCTION 2022",9387 6666,Sydney,151.2494992,-33.8929936,9-13 Bronte Rd,BONDI JUNCTION 2022,.
Grill'd Broadway,"Shop 217 Broadway Shopping Centre,  BROADWAY 2007",9211 1085,Sydney,151.1941253,-33.8834035,Shop 217 Broadway Shopping Centre,BROADWAY 2007,.
Grill'd Chatswood,"Shop 7 The Concourse,  CHATSWOOD 2067",9411 4267,Sydney,151.1835533,-33.7959507,Shop 7 The Concourse,CHATSWOOD 2067,.
Grill'd Crows Nest,"57 Willoughby Rd,  CROWS NEST 2065",9436 0699,Sydney,151.2009818,-33.8258976,57 Willoughby Rd,CROWS NEST 2065,.
Grill'd Darlinghurst,"241 Crown St,  DARLINGHURST 2010",9380 4800,Sydney,151.2150083,-33.8795403,241 Crown St,DARLINGHURST 2010,.
Grill'd Dee Why,"Shop 10-11, Corner Howard Ave & PIttwater Rd,  DEE WHY 2099",9188 8396,Sydney,151.2875319,-33.7534243,Shop 10-11,Corner Howard Ave & PIttwater Rd,DEE WHY 2099
Grill'd Galeries,"The Galeries,  SYDNEY 2000",9264 9566,Sydney,151.2075807,-33.8724051,The Galeries,SYDNEY 2000,.
Grill'd Kirrawee,"580 Princes Hwy,  KIRRAWEE 2232",8058 9600,Sydney,151.0729905,-34.0336049,580 Princes Hwy,KIRRAWEE 2232,.
Grill'd Leichhardt,"Shop TO28 Norton Plaza,  LEICHHARDT 2040",95509499,Sydney,151.1574558,-33.8858258,Shop TO28 Norton Plaza,LEICHHARDT 2040,.
Grill'd MacArthur Square,"200 Gilchrist Dr,  CAMPBELLTOWN 2560",4625 3500,Sydney,150.7976599,-34.0733804,200 Gilchrist Dr,CAMPBELLTOWN 2560,.
Grill'd Macquarie Centre,"Macquarie Shopping Centre, Level 4,  NORTH RYDE 2113",9888 7700,Sydney,151.1194891,-33.7765996,Macquarie Shopping Centre,Level 4,NORTH RYDE 2113
Grill'd Miranda,"Westfield Miranda, Level 4 Restaurant Precinct,  MIRANDA 2228",9524 7111,Sydney,151.1007563,-34.0344578,Westfield Miranda,Level 4 Restaurant Precinct,MIRANDA 2228
Grill'd Neutral Bay,"24 Grosvenor St,  NEUTRAL BAY 2089",8969 6277,Sydney,151.2210905,-33.8298983,24 Grosvenor St,NEUTRAL BAY 2089,.
Grill'd Penrith,"585 High St,  PENRITH 2750",4721 8300,Sydney,150.6938829,-33.7516882,585 High St,PENRITH 2750,.
Grill'd Rouse Hill,"Shop GR049 Rouse Hill Town Centre,  ROUSE HILL 2155",9836 5666,Sydney,150.9263176,-33.69041,Shop GR049 Rouse Hill Town Centre,ROUSE HILL 2155,.
Grill'd Westfield Parramatta,"Shop 4069 Westfield Parramatta,  PARRAMATTA 2150",9633 2300,Sydney,151.0031339,-33.8172273,Shop 4069 Westfield Parramatta,PARRAMATTA 2150,.
Grill'd Westfield Sydney,"Westfield Sydney, Level 6,  SYDNEY 2000",9223 7474,Sydney,151.2092834,-33.8701154,Westfield Sydney,Level 6,SYDNEY 2000
Grill'd Wetherill Park,"Stockland Wetherill Park Shopping Centre,  WETHERILL PARK 2164",9756 1444,Sydney,150.8988602,-33.8576497,Stockland Wetherill Park Shopping Centre,WETHERILL PARK 2164,.
Grill'd World Square,"World Square Shopping Centre,  SYDNEY 2000",9261 4900,Sydney,151.2068698,-33.877279,World Square Shopping Centre,SYDNEY 2000,.
